iter	Passed	Remaining
0	132	13115
1	260	12742
2	380	12307
3	494	11871
4	618	11753
5	737	11559
6	835	11097	7	964	11088	8	1090	11027
9	1206	10854
10	1314	10638
11	1442	10575
12	1560	10445
13	1684	10347
14	1798	10193
15	1911	10034
16	2014	9837
17	2137	9738
18	2250	9595
19	2359	9439
20	2470	9292
21	2579	9144
22	2682	8923	23	2794	8824	24	2924	8725	25	3046	8670
26	3162	8551
27	3270	8410
28	3381	8229	29	3503	8130	30	3621	8060
31	3735	7938
32	3852	7821
33	3970	7707
34	4075	7569
35	4193	7455
36	4294	7337	37	4401	7138	38	4518	7039	39	4626	6940	40	4752	6841	41	4864	6742	42	4974	6543	43	5191	6644	44	5316	6445	45	5421	6346	46	5544	6247	47	5657	6148	48	5776	6049	49	5777	5750	50	5898	5651	51	6013	5552	52	6132	5453	53	6242	5354	54	6349	5155	55	6599	5156	56	6708	5057	57	6824	4958	58	6952	4859	59	7083	4722
60	7200	4603
61	7328	4491
62	7450	4375
63	7578	4262
64	7695	4143
65	7814	4025
66	7918	3900
67	8031	3779
68	8148	3660
69	8264	3541
70	8382	3424
71	8513	3310
72	8643	3196
73	8760	3077
74	8881	2960
75	8988	2838
76	9107	2720
77	9229	2603
78	9345	2484
79	9457	2364
80	9590	2249
81	9699	2129
82	9821	2011
83	9934	1892
84	10056	1774885	10179	1658686	10296	1538787	10419	1428888	10542	1308989	10661	1189090	10787	1069191	10899	949292	11018	829393	11134	719494	11259	599595	11384	479696	11499	359797	11622	239898	11700	119999	11781	0
0
